1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-0.9998477 0.01745243 0 0;-2.123605E-10 -1.216611E-08 -1 -124;-0.01745243 -0.9998477 1.216796E-08 1.508828E-06;0 0 0 1,0.9205049 -0.3907312 0 -484.9261;4.754403E-09 1.120067E-08 -1 -124;0.3907312 0.9205049 1.216796E-08 -8.464427;0 0 0 1,0.9986296 -0.05233599 0 -25.59422;6.368224E-10 1.215129E-08 -1 -124;0.05233599 0.9986296 1.216796E-08 186.5104;0 0 0 1,-0.03485166 0.9980212 -0.05233599 -31.03716;-0.9993908 -0.03489948 -1.667555E-11 -124;-0.001826499 0.05230411 0.9986296 290.3679;0 0 0 1,-0.03485166 0.052336 0.9980212 -31.03716;-0.9993908 -4.079801E-10 -0.03489948 -124;-0.001826499 -0.9986296 0.05230412 290.3679;0 0 0 1
1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-0.9998477 0.01745243 0 0;-2.123605E-10 -1.216611E-08 -1 -124;-0.01745243 -0.9998477 1.216796E-08 1.508828E-06;0 0 0 1,0.9205049 -0.3907312 0 -484.9261;4.754403E-09 1.120067E-08 -1 -124;0.3907312 0.9205049 1.216796E-08 -8.464427;0 0 0 1,0.9986296 -0.05233599 0 -25.59422;6.368224E-10 1.215129E-08 -1 -124;0.05233599 0.9986296 1.216796E-08 186.5104;0 0 0 1,-0.03485166 0.9980212 -0.05233599 -31.03716;-0.9993908 -0.03489948 -1.667555E-11 -124;-0.001826499 0.05230411 0.9986296 290.3679;0 0 0 1,-0.03485166 0.052336 0.9980212 -31.03716;-0.9993908 -4.079801E-10 -0.03489948 -124;-0.001826499 -0.9986296 0.05230412 290.3679;0 0 0 1
1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-0.9998477 0.01745243 0 0;-2.123605E-10 -1.216611E-08 -1 -124;-0.01745243 -0.9998477 1.216796E-08 1.508828E-06;0 0 0 1,0.9205049 -0.3907312 0 -484.9261;4.754403E-09 1.120067E-08 -1 -124;0.3907312 0.9205049 1.216796E-08 -8.464427;0 0 0 1,0.9986296 -0.05233599 0 -25.59422;6.368224E-10 1.215129E-08 -1 -124;0.05233599 0.9986296 1.216796E-08 186.5104;0 0 0 1,-0.03485166 0.9980212 -0.05233599 -31.03716;-0.9993908 -0.03489948 -1.667555E-11 -124;-0.001826499 0.05230411 0.9986296 290.3679;0 0 0 1,-0.03485166 0.052336 0.9980212 -31.03716;-0.9993908 -4.079801E-10 -0.03489948 -124;-0.001826499 -0.9986296 0.05230412 290.3679;0 0 0 1
1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-0.9998477 0.01745243 0 0;-2.123605E-10 -1.216611E-08 -1 -124;-0.01745243 -0.9998477 1.216796E-08 1.508828E-06;0 0 0 1,0.9205049 -0.3907312 0 -484.9261;4.754403E-09 1.120067E-08 -1 -124;0.3907312 0.9205049 1.216796E-08 -8.464427;0 0 0 1,0.9986296 -0.05233599 0 -25.59422;6.368224E-10 1.215129E-08 -1 -124;0.05233599 0.9986296 1.216796E-08 186.5104;0 0 0 1,-0.03485166 0.9980212 -0.05233599 -31.03716;-0.9993908 -0.03489948 -1.667555E-11 -124;-0.001826499 0.05230411 0.9986296 290.3679;0 0 0 1,-0.03485166 0.052336 0.9980212 -31.03716;-0.9993908 -4.079801E-10 -0.03489948 -124;-0.001826499 -0.9986296 0.05230412 290.3679;0 0 0 1
1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-0.9998477 0.01745243 0 0;-2.123605E-10 -1.216611E-08 -1 -124;-0.01745243 -0.9998477 1.216796E-08 1.508828E-06;0 0 0 1,0.9135455 -0.4067367 0 -484.9261;4.949158E-09 1.111599E-08 -1 -124;0.4067367 0.9135455 1.216796E-08 -8.464427;0 0 0 1,0.9975641 -0.06975651 0 -29.06695;8.487949E-10 1.213833E-08 -1 -124;0.06975651 0.9975641 1.216796E-08 194.4972;0 0 0 1,-0.03481447 0.9969564 -0.06975651 -36.32163;-0.9993908 -0.03489948 -2.96394E-11 -124;-0.002434466 0.06971402 0.9975641 298.2438;0 0 0 1,-0.03481447 0.06975652 0.9969564 -36.32163;-0.9993908 -3.950163E-10 -0.03489948 -124;-0.002434466 -0.9975641 0.06971403 298.2438;0 0 0 1
1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-0.9998477 0.01745243 0 0;-2.123605E-10 -1.216611E-08 -1 -124;-0.01745243 -0.9998477 1.216796E-08 1.508828E-06;0 0 0 1,0.9063078 -0.4226183 0 -484.9261;5.142405E-09 1.102792E-08 -1 -124;0.4226183 0.9063078 1.216796E-08 -8.464427;0 0 0 1,0.9961947 -0.0871558 0 -32.67858;1.060509E-09 1.212166E-08 -1 -124;0.0871558 0.9961947 1.216796E-08 202.4221;0 0 0 1,-0.03476668 0.9955879 -0.0871558 -41.74278;-0.9993908 -0.03489948 -4.630252E-11 -124;-0.003041693 0.08710271 0.9961947 306.0264;0 0 0 1,-0.03476668 0.08715582 0.9955879 -41.74278;-0.9993908 -3.783532E-10 -0.03489948 -124;-0.003041693 -0.9961947 0.08710273 306.0264;0 0 0 1
1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-0.9998477 0.01745243 0 0;-2.123605E-10 -1.216611E-08 -1 -124;-0.01745243 -0.9998477 1.216796E-08 1.508828E-06;0 0 0 1,0.898794 -0.4383712 0 -484.9261;5.334085E-09 1.093649E-08 -1 -124;0.4383712 0.898794 1.216796E-08 -8.464427;0 0 0 1,0.9945219 -0.1045285 0 -36.42794;1.271899E-09 1.210131E-08 -1 -124;0.1045285 0.9945219 1.216796E-08 210.2828;0 0 0 1,-0.0347083 0.993916 -0.1045285 -47.29891;-0.9993908 -0.03489948 -6.66569E-11 -124;-0.003647991 0.1044648 0.9945219 313.713;0 0 0 1,-0.0347083 0.1045285 0.993916 -47.29891;-0.9993908 -3.579988E-10 -0.03489948 -124;-0.003647991 -0.9945219 0.1044648 313.713;0 0 0 1
1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-0.9998477 0.01745243 0 0;-2.123605E-10 -1.216611E-08 -1 -124;-0.01745243 -0.9998477 1.216796E-08 1.508828E-06;0 0 0 1,0.8910065 -0.4539905 0 -484.9261;5.524141E-09 1.084174E-08 -1 -124;0.4539905 0.8910065 1.216796E-08 -8.464427;0 0 0 1,0.9925461 -0.1218693 0 -40.31389;1.482902E-09 1.207727E-08 -1 -124;0.1218693 0.9925461 1.216796E-08 218.0768;0 0 0 1,-0.03463935 0.9919415 -0.1218693 -52.9883;-0.9993908 -0.03489948 -9.069723E-11 -124;-0.004253177 0.1217951 0.9925461 321.3016;0 0 0 1,-0.03463935 0.1218694 0.9919415 -52.9883;-0.9993908 -3.339584E-10 -0.03489948 -124;-0.004253177 -0.9925461 0.1217951 321.3016;0 0 0 1
1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-0.9998477 0.01745243 0 0;-2.123605E-10 -1.216611E-08 -1 -124;-0.01745243 -0.9998477 1.216796E-08 1.508828E-06;0 0 0 1,0.8829476 -0.4694716 0 -484.9261;5.712514E-09 1.074368E-08 -1 -124;0.4694716 0.8829476 1.216796E-08 -8.464427;0 0 0 1,0.9902681 -0.1391731 0 -44.33529;1.693454E-09 1.204955E-08 -1 -124;0.1391731 0.9902681 1.216796E-08 225.8019;0 0 0 1,-0.03455985 0.9896649 -0.1391731 -58.80929;-0.9993908 -0.03489948 -1.184173E-10 -124;-0.00485707 0.1390883 0.9902681 328.7898;0 0 0 1,-0.03455985 0.1391731 0.9896649 -58.80929;-0.9993908 -3.062384E-10 -0.03489948 -124;-0.00485707 -0.9902681 0.1390884 328.7898;0 0 0 1
1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,1 0 0 0;0 1 0 0;0 0 1 0;0 0 0 1,-1 2.433593E-08 0 0;-2.961187E-16 -1.216796E-08 -1 -124;-2.433593E-08 -1 1.216796E-08 1.508828E-06;0 0 0 1,0.8829476 -0.4694716 0 -485;5.712514E-09 1.074367E-08 -1 -124;0.4694716 0.8829476 1.216796E-08 -1.02941E-05;0 0 0 1,0.9902681 -0.1391731 0 -44.40918;1.693454E-09 1.204955E-08 -1 -124;0.1391731 0.9902681 1.216796E-08 234.2663;0 0 0 1,-0.03455984 0.9896648 -0.1391731 -58.88319;-0.9993908 -0.03489948 -1.184182E-10 -124;-0.004857071 0.1390884 0.9902681 337.2542;0 0 0 1,-0.03455984 0.1391732 0.9896648 -58.88319;-0.9993908 -3.062375E-10 -0.03489948 -124;-0.004857071 -0.9902681 0.1390884 337.2542;0 0 0 1
